"","X","Category","ProductName","Reviewer","Verified","DateOfReview","Rating"
"329",329,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","alessandro","verified purchase","reviewed in germany on 17 july 2021",5
"330",330,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","amazon kunde","verified purchase","reviewed in italy on 24 december 2023",5
"331",331,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","cliente amazon","verified purchase","reviewed in italy on 15 may 2021",4
"332",332,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","timo cuijpers","verified purchase","reviewed in the netherlands on 14 march 2022",5
"333",333,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","roy höglund","verified purchase","reviewed in sweden on 7 january 2023",3
"334",334,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","daniel grinton","verified purchase","reviewed in the united kingdom on 2 january 2020",5
"335",335,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","giovanna","verified purchase","reviewed in italy on 11 december 2023",5
"336",336,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","chris h","verified purchase","reviewed in the united kingdom on 29 december 2018",4
"337",337,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","remoutcho","verified purchase","reviewed in belgium on 30 october 2023",5
"338",338,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","juan sebastian ochoa yara","verified purchase","reviewed in the united states on 4 may 2021",4
"339",339,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","arcm","verified purchase","reviewed in the united kingdom on 23 february 2021",4
"340",340,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","ara","verified purchase","reviewed in japan on 24 august 2018",5
"341",341,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","francesco monaco","verified purchase","reviewed in italy on 6 july 2022",4
"342",342,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","travis geach","verified purchase","reviewed in the united kingdom on 17 december 2023",5
"343",343,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","armando","verified purchase","reviewed in italy on 26 january 2018",5
"344",344,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","matteo","verified purchase","reviewed in italy on 16 august 2019",5
"345",345,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","melissa","verified purchase","reviewed in the united states on 28 july 2023",4
"346",346,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","mattia casabianca","verified purchase","reviewed in the netherlands on 10 september 2023",1
"347",347,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","simone tardini","verified purchase","reviewed in italy on 14 march 2019",4
"348",348,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","björn smit","verified purchase","reviewed in the netherlands on 23 september 2020",5
"349",349,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","andy v","verified purchase","reviewed in the united kingdom on 15 october 2017",4
"350",350,"headset","corsair void rgb elite wireless gaming headset – 7.1 surround sound – omni-directional microphone – microfiber mesh earpads – up to 40ft range – icue compatible – pc, mac, ps5, ps4 – white","antonio","verified purchase","reviewed in italy on 16 march 2021",5
"351",351,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","sincin","verified purchase","reviewed in australia on 22 january 2023",4
"352",352,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","step_bro","verified purchase","reviewed in australia on 14 june 2021",5
"353",353,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","raptorclaw","verified purchase","reviewed in the united states on 27 january 2024",5
"354",354,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","doc","verified purchase","reviewed in india on 20 may 2023",5
"355",355,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","nahpi","verified purchase","reviewed in germany on 8 february 2024",4
"356",356,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","lmn","verified purchase","reviewed in belgium on 31 july 2023",5
"357",357,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","thegamergh28","verified purchase","reviewed in mexico on 11 february 2024",3
"358",358,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","mitch","verified purchase","reviewed in canada on 7 may 2021",5
"359",359,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","adam","verified purchase","reviewed in the united kingdom on 13 november 2023",5
"360",360,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","stuart","verified purchase","reviewed in the united kingdom on 25 march 2023",5
"361",361,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","gustavo","verified purchase","reviewed in brazil on 19 january 2023",4
"362",362,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","gustavo","verified purchase","reviewed in canada on 12 september 2021",5
"363",363,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","lynn schierer","verified purchase","reviewed in germany on 3 may 2023",5
"364",364,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","philip franz","verified purchase","reviewed in india on 28 september 2023",5
"365",365,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","shahid khan","verified purchase","reviewed in germany on 19 february 2024",4
"366",366,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","gianni felix","verified purchase","reviewed in canada on 20 january 2023",1
"367",367,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","luke","verified purchase","reviewed in the united kingdom on 26 april 2023",5
"368",368,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","mark edwards","verified purchase","reviewed in mexico on 17 january 2024",4
"369",369,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","braulio daniel piñuelas zapata","verified purchase","reviewed in germany on 16 august 2023",4
"370",370,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","braulio daniel piñuelas zapata","verified purchase","reviewed in the united kingdom on 3 february 2024",5
"371",371,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","mandy jones","verified purchase","reviewed in canada on 3 may 2021",4
"372",372,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","callie","verified purchase","reviewed in canada on 4 december 2020",5
"373",373,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","julie pleasants","verified purchase","reviewed in the united kingdom on 1 february 2024",5
"374",374,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","vladimir vasic","verified purchase","reviewed in germany on 10 november 2021",5
"375",375,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","egxrx","verified purchase","reviewed in the united kingdom on 18 january 2024",3
"376",376,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","alexander","verified purchase","reviewed in germany on 3 june 2021",5
"377",377,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","raven","verified purchase","reviewed in the united states on 26 february 2024",5
"378",378,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","zoe jauregui","verified purchase","reviewed in mexico on 24 february 2024",5
"379",379,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection",".","verified purchase","reviewed in canada on 17 may 2021",5
"380",380,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","duke","verified purchase","reviewed in mexico on 18 february 2024",3
"381",381,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","yannik behrendt","verified purchase","reviewed in germany on 4 april 2023",4
"382",382,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","christine brook","verified purchase","reviewed in the united kingdom on 30 december 2023",4
"383",383,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","kyle johnson","verified purchase","reviewed in canada on 3 september 2022",5
"384",384,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","ashley","verified purchase","reviewed in canada on 21 october 2023",4
"385",385,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","sam o’dwyer","verified purchase","reviewed in the united kingdom on 4 january 2024",1
"386",386,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","a. gashi","verified purchase","reviewed in germany on 7 august 2022",5
"387",387,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","mahlia ross","verified purchase","reviewed in the united states on 20 february 2024",5
"388",388,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","j.p","verified purchase","reviewed in the united kingdom on 3 january 2024",5
"389",389,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","elliecat","verified purchase","reviewed in the united kingdom on 22 december 2023",5
"390",390,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","hubby","verified purchase","reviewed in the united states on 14 january 2024",5
"391",391,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","krista walker","verified purchase","reviewed in the united states on 19 january 2024",4
"392",392,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","lisa fathauer","verified purchase","reviewed in the united states on 8 january 2024",5
"393",393,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","amazon customer","verified purchase","reviewed in the united kingdom on 15 december 2023",5
"394",394,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","paul evans","verified purchase","reviewed in the united kingdom on 18 december 2023",5
"395",395,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","leon","verified purchase","reviewed in germany on 16 february 2024",5
"396",396,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","kenyon anderson","verified purchase","reviewed in the united states on 20 october 2023",2
"397",397,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","james williams","verified purchase","reviewed in the united kingdom on 8 october 2023",4
"398",398,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","julio israel santeliz castañeda","verified purchase","reviewed in the united states on 19 december 2023",3
"399",399,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","aida perez","verified purchase","reviewed in the united states on 26 december 2023",5
"400",400,"headset","turtle beach recon 70 blue camo gaming headset for xbox series x, xbox series s, & xbox one, playstation 5, ps4, nintendo switch, mobile, & pc with 3.5mm connection","marc","verified purchase","reviewed in the united kingdom on 19 may 2023",5
"401",401,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","william ","verified purchase","reviewed in australia on 13 october 2023",3
"402",402,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","james","verified purchase","reviewed in australia on 25 july 2023",5
"403",403,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","william ","verified purchase","reviewed in australia on 13 october 2023",3
"404",404,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","islandbreeze","verified purchase","reviewed in australia on 30 november 2023",5
"405",405,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","james","verified purchase","reviewed in australia on 25 july 2023",4
"406",406,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","neercat ","verified purchase","reviewed in australia on 12 july 2023",3
"407",407,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","harly","verified purchase","reviewed in australia on 25 february 2023",2
"408",408,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","amazon customer","verified purchase","reviewed in australia on 22 november 2022",5
"409",409,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","dean","verified purchase","reviewed in australia on 9 march 2023",5
"410",410,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","mik adam","verified purchase","reviewed in australia on 25 march 2022",4
"411",411,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","william ","verified purchase","reviewed in australia on 13 october 2023",3
"412",412,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","james","verified purchase","reviewed in australia on 25 july 2023",5
"413",413,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","-div-","verified purchase","reviewed in the united kingdom on 26 november 2022",3
"414",414,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","quirkafleeg","verified purchase","reviewed in the united kingdom on 20 march 2023",2
"415",415,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","lan5555","verified purchase","reviewed in france on 4 april 2023",5
"416",416,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","priet","verified purchase","reviewed in germany on 19 december 2022",5
"417",417,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","jim","verified purchase","reviewed in sweden on 5 january 2024",5
"418",418,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","haddinguss","verified purchase","reviewed in spain on 3 november 2022",5
"419",419,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","wolf","verified purchase","reviewed in germany on 19 january 2023",5
"420",420,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","marc",NA,"reviewed in spain on 15 september 2023",5
"421",421,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","william ","verified purchase","reviewed in australia on 13 october 2023",3
"422",422,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","james","verified purchase","reviewed in australia on 25 july 2023",5
"423",423,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","david","verified purchase","reviewed in the united states on 21 april 2023",3
"424",424,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","sr","verified purchase","reviewed in the united kingdom on 30 december 2021",5
"425",425,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","sheryne","verified purchase","reviewed in france on 9 august 2022",5
"426",426,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","gros goût","verified purchase","reviewed in france on 5 december 2021",2
"427",427,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","gros goût","verified purchase","reviewed in germany on 10 may 2022",5
"428",428,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","paco","verified purchase","reviewed in spain on 10 december 2023",5
"429",429,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","nuno fernandes","verified purchase","reviewed in italy on 20 february 2024",3
"430",430,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","simone",NA,"reviewed in mexico on 22 august 2023",4
"431",431,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","william ","verified purchase","reviewed in australia on 13 october 2023",3
"432",432,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","james","verified purchase","reviewed in australia on 25 july 2023",5
"433",433,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","tommy","verified purchase","reviewed in the united states on 20 january 2023",3
"434",434,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","dylan lastapis","verified purchase","reviewed in france on 24 october 2023",1
"435",435,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","sara","verified purchase","reviewed in the united kingdom on 14 february 2022",1
"436",436,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","o.","verified purchase","reviewed in germany on 8 november 2023",1
"437",437,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","amazon kunde","verified purchase","reviewed in germany on 2 may 2023",1
"438",438,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","authentic","verified purchase","reviewed in france on 8 april 2022",1
"439",439,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","berger aurélie","verified purchase","reviewed in france on 9 january 2023",3
"440",440,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","mammut信者予備軍","verified purchase","reviewed in japan on 7 may 2023",1
"441",441,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","william ","verified purchase","reviewed in australia on 13 october 2023",3
"442",442,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","james","verified purchase","reviewed in australia on 25 july 2023",5
"443",443,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","boris","verified purchase","reviewed in spain on 5 january 2022",3
"444",444,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","stu","verified purchase","reviewed in the united kingdom on 25 november 2021",1
"445",445,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","stu","verified purchase","reviewed in france on 15 february 2022",2
"446",446,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","lucrecia","verified purchase","reviewed in germany on 21 june 2022",2
"447",447,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","nicole","verified purchase","reviewed in france on 21 march 2023",2
"448",448,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","baptiste gal","verified purchase","reviewed in the united kingdom on 28 september 2022",1
"449",449,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","bat 'n' ball","verified purchase","reviewed in germany on 24 january 2023",4
"450",450,"headset","epos h3pro hybrid wireless gaming headset with bluetooth and anc, detachable boom arm, smart button audio mixing, pc playstation xbox nintendo mobile compatible (sebring black)","cassandra",NA,"reviewed in the united states on 27 may 2022",2
"451",451,"headset","jabra evolve 20 uc wired headset, stereo professional telephone headphones for greater productivity, superior sound for calls and music, usb connection, all day comfort design","noby john","verified purchase","reviewed in australia on 25 august 2022",4
"452",452,"headset","jabra evolve 20 uc wired headset, stereo professional telephone headphones for greater productivity, superior sound for calls and music, usb connection, all day comfort design","prue","verified purchase","reviewed in australia on 20 june 2021",5
"453",453,"headset","jabra evolve 20 uc wired headset, stereo professional telephone headphones for greater productivity, superior sound for calls and music, usb connection, all day comfort design","noby john","verified purchase","reviewed in australia on 25 august 2022",3
